Dock,Image,Attractive_VdW,Global_Energy,Repulsive_VdW,ACE,HB
oprD_AMP12.pdb,oprD_AMP12.JPG,-34.1,-0.78,21.28,19.84,-3.67
oprD_AMP13.pdb,oprD_AMP13.JPG,-34.76,0.91,15.31,7.48,-4.55
oprD_AMP14.pdb,oprD_AMP14.JPG,-8.28,-1.25,5.07,2.83,-0.9
oprD_AMP15.pdb,oprD_AMP15.JPG,-27.55,-43.8,7.03,3.97,-1.49
oprD_AMP16.pdb,oprD_AMP16.JPG,-0.98,6.3,0.1,1.44,-0.67
oprD_AMP17.pdb,oprD_AMP17.JPG,-2.24,0.87,0.1,2.58,-1.83
oprD_AMP18.pdb,oprD_AMP18.JPG,-22.2,-10.06,8.61,2.07,-0.42
oprD_AMP19.pdb,oprD_AMP19.JPG,-0.48,-0.83,0.1,-0.57,0.1
oprD_AMP20.pdb,oprD_AMP20.JPG,-0.98,1.68,0.1,0.07,0.1
oprD_AMP21.pdb,oprD_AMP21.JPG,-4.27,-2.29,1.69,-0.05,0.1
oprD_AMP22.pdb,oprD_AMP22.JPG,-23.53,-15.05,12.58,2.32,-1.45
oprD_AMP23.pdb,oprD_AMP23.JPG,-25.38,-33.68,11.15,-4.18,-3.83
oprD_AMP24.pdb,oprD_AMP24.JPG,-28.8,-32.67,13.86,1.38,-0.22
oprD_AMP25.pdb,oprD_AMP25.JPG,-42.93,-4.02,17.59,19.84,-3.84
oprD_AMP26.pdb,oprD_AMP26.JPG,-39.53,-20.52,15.18,17.65,-6.96
oprD_AMP27.pdb,oprD_AMP27.JPG,-20.28,-1.7,9.81,9.63,-3.78
oprD_AMP28.pdb,oprD_AMP28.JPG,0.1,2.71,0.1,0.04,0.1
oprD_AMP29.pdb,oprD_AMP29.JPG,0.1,3.99,0.1,0.1,0.1
oprD_AMP30.pdb,oprD_AMP30.JPG,-22.58,-21.6,11.31,5.12,-2.96
OXA_51_AMP1.pdb,oxa51_AMP1.JPG,-21.35,-31.11,7.97,-4.36,-2.69
OXA_51_AMP2.pdb,oxa51_AMP2.JPG,-30.83,-46.27,8.13,2.61,-1.22
OXA_51_AMP3.pdb,oxa51_AMP3.JPG,-22.05,-62.2,9.37,-8.28,-1.33
OXA_51_AMP4.pdb,oxa51_AMP4.JPG,-30.87,-17.59,3.34,12.92,-3.2
OXA_51_AMP5.pdb,oxa51_AMP5.JPG,-31.15,-35.98,8.29,-4.77,-2.49
OXA_51_AMP6.pdb,oxa51_AMP6.JPG,-27,-36.46,8.69,-3.27,-1.5
OXA_51_AMP7.pdb,oxa51_AMP7.JPG,-17.01,-29.11,14.88,-2.899,-0.31
OXA_51_AMP8.pdb,oxa51_AMP8.JPG,-23.2,-71.97,18.41,-14.49,-3.5
OXA_51_AMP9.pdb,oxa51_AMP9.JPG,-28.94,-23.68,12.98,7.2,-0.83
OXA_51_AMP10.pdb,oxa51_AMP10.JPG,-34.27,-40.94,28.53,-0.58,-1.95
OXA_51_AMP11.pdb,oxa51_AMP11.JPG,-34.76,-41.06,7.81,8.33,-1.53
OXA_51_AMP12.pdb,oxa51_AMP12.JPG,-24.74,-11.02,11.03,13,-3.12
OXA_51_AMP13.pdb,oxa51_AMP13.JPG,-39.05,-42.35,22.35,-2.49,-0.28
OXA_51_AMP14.pdb,oxa51_AMP14.JPG,-18.55,-49.33,8.61,-9.07,0
OXA_51_AMP15.pdb,oxa51_AMP15.JPG,-21.33,-45.12,9.67,-5.06,-3.75
OXA_51_AMP16.pdb,oxa51_AMP16.JPG,-32.35,-50.82,6.7,11.36,-2.29
OXA_51_AMP17.pdb,oxa51_AMP17.JPG,-28.89,-3.56,23.02,7.02,-0.58
OXA_51_AMP18.pdb,oxa51_AMP18.JPG,-21.14,-21.82,4.07,-1.47,-0.91
OXA_51_AMP19.pdb,oxa51_AMP19.JPG,-21.48,-18.76,8.48,7.26,-1.34
OXA_51_AMP20.pdb,oxa51_AMP20.JPG,-19.76,26.94,-4.91,8.32,-3.38
OXA_51_AMP21.pdb,oxa51_AMP21.JPG,-31.74,-20.71,10.68,4.11,-0.86
OXA_51_AMP22.pdb,oxa51_AMP22.JPG,-15.63,-6.54,1.84,12.37,-3.71
OXA_51_AMP23.pdb,oxa51_AMP23.JPG,-21.5,-52.18,19.39,-11,-1.62
OXA_51_AMP24.pdb,oxa51_AMP24.JPG,-31.7,-50.01,9.03,-3.1,-5.56
OXA_51_AMP25.pdb,oxa51_AMP25.JPG,-37.07,-27.24,30.06,-1.71,-4.16
OXA_51_AMP26.pdb,oxa51_AMP26.JPG,-30.47,-44.09,28.86,-6.42,-5.14
OXA_51_AMP27.pdb,oxa51_AMP27.JPG,-32.72,-26.66,15.81,7.41,-4.3
OXA_51_AMP28.pdb,oxa51_AMP28.JPG,-33.15,-41.85,32.44,-6,-3.5
OXA_51_AMP29.pdb,oxa51_AMP29.JPG,-29.34,-0.25,23.4,13.71,-5.52
OXA_51_AMP30.pdb,oxa51_AMP30.JPG,-25.34,-58.17,5.81,-7.53,-2.35
adeA_AMP1.pdb,adeA_AMP1.JPG,-31.57,-27.88,22.5,-2.18,-2.8
adeA_AMP2.pdb,adeA_AMP2.JPG,-21.95,-19.67,10.73,4.64,-0.88
adeA_AMP3.pdb,adeA_AMP3.JPG,-29.9,-43.9,30.28,-8.07,-3.56
adeA_AMP4.pdb,adeA_AMP4.JPG,-24.33,-1.01,16.72,16.72,-3.41
adeA_AMP5.pdb,adeA_AMP5.JPG,-22.37,-32.24,4.9,0.43,-3.03
adeA_AMP6.pdb,adeA_AMP6.JPG,-28.38,-29.52,13.31,2.74,0.1
adeA_AMP7.pdb,adeA_AMP7.JPG,-8.85,-5.91,0.38,1.88,0.1
adeA_AMP8.pdb,adeA_AMP8.JPG,-21.37,-43.95,13.17,-11.78,-0.96
adeA_AMP9.pdb,adeA_AMP9.JPG,-24.39,-26.3,10.76,3.91,7.74
adeA_AMP10.pdb,adeA_AMP10.JPG,-1.82,4.16,0.1,0.74,0.1
adeA_AMP11.pdb,adeA_AMP11.JPG,-27.81,-38.75,10.8,-1.79,-3.32
adeA_AMP12.pdb,adeA_AMP12.JPG,-24.21,-23.13,11.43,3.04,-2.74
adeA_AMP13.pdb,adeA_AMP13.JPG,-9.52,-15.96,1.88,-0.84,-1.35
adeA_AMP14.pdb,adeA_AMP14.JPG,-6.79,-1.01,0.92,0.7,-0.37
adeA_AMP15.pdb,adeA_AMP15.JPG,-20.7,-8,12.7,10.63,-0.37
adeA_AMP16.pdb,adeA_AMP16.JPG,-21.29,-26.79,23.79,3.97,-8
adeA_AMP17.pdb,adeA_AMP17.JPG,-20.89,-28.17,48.57,-3.59,-6.09
adeA_AMP18.pdb,adeA_AMP18.JPG,-8.63,-4.28,1.95,-3.35,-0.62
adeA_AMP19.pdb,adeA_AMP19.JPG,-7.99,-6.78,2.29,-1.33,0
adeA_AMP20.pdb,adeA_AMP20.JPG,-0.75,-2.77,0.3,-0.4,0
adeA_AMP21.pdb,adeA_AMP21.JPG,-13.65,-22.22,20.13,-4.16,-2.19
adeA_AMP22.pdb,adeA_AMP22.JPG,4.45,-5.46,1.66,2.39,-0.3
adeA_AMP23.pdb,adeA_AMP23.JPG,-33.48,-28.05,10,-1.64,-1.55
adeA_AMP24.pdb,adeA_AMP24.JPG,-26.23,-22.86,9.79,0.35,-0.28
